Project name,ProjectID,jun,may,apr,mar,feb,jan
Vissim Test Project,1,136,136,143,148,152,152
IM Test Project,2,20,20,20,20,20,20
Wikinger,3,1913,1913,1920,1923,1942,1964
Gwynt y Mor,4,222,222,227,231,235,239
Scira,5,365,365,365,365,365,365
LID (archived),6,0,0,235,235,238,242
London Array (archived),7,0,0,0,0,0,0
Galloper,8,457,457,457,463,475,504
Greater Gabbard,9,598,598,638,683,696,710
Nordsee Ost,10,964,965,966,967,969,971
BOWL,11,450,450,454,461,465,467
Ormonde (archived),12,0,0,0,0,0,0
AOWF (archived),13,0,0,0,0,0,0
50Hz CWA2,14,2549,2552,2583,2593,2597,2599
Project,15,0,0,0,0,0,0
Project,16,0,0,0,0,0,0
Project,17,0,0,0,0,0,0
Rhyl Flats,18,83,83,83,84,84,101
Borsele 2 (archived),19,0,0,2196,2196,2196,2196
Fryslan,20,1462,1462,1462,1463,1464,1464
Akita,21,25,25,25,25,28,28
Course Test Project,22,19,19,20,20,21,22
St Brieuc,23,1751,1752,1760,1762,1765,1765
Seagreen,24,4383,4384,4392,4750,4766,4782
Stowen,25,38,38,38,38,38,38
VTMS e-Course,26,26,26,27,28,31,31
Moray East,27,367,367,378,380,385,393
Dogger Bank A,28,521,523,532,536,536,536
Internal Permit,29,0,0,0,0,0,0
AQA_Project,30,14,146,146,146,146,146
