projectID,project name,type,lat,lng,status,turbines,turbine capactiy MW,total capacity MW
3,Wikinger,windfarm,54.874500,14.083667,active,79,5,350
4,Gwynt y Mor,windfarm,53.490150,-3.600483,active,160,3.6,660
9,Greater Gabbard,windfarm,51.923700,1.987433,active,140,3.6,504
11,BOWL,windfarm,58.211450,-2.981217,active,90,7,588
14,50Hz CWA2,other,0,0,active,0,0,0
21,Akita,windfarm,39.753702,140.028703,active,34,4.2,140
23,St Brieuc,windfarm,48.823500,-2.571434,active,62,8,496
24,Seagreen,windfarm,56.644979,-1.658597,active,114,10,1075
25,Stowen,other,0,0,active,0,0,0
27,Moray East,windfarm,58.075832,-2.869111,active,100,9.5,950
28,Dogger Bank A,windfarm,54.740500,1.743000,active,95,13,1200
