ID,Name,active_users,past_users,total_users
3,Wikinger,0,2348,2348
4,Gwynt y Môr,0,830,830
5,Scira,0,556,556
6,LID (Archived),0,387,387
7,London Array,0,2466,2466
8,Galloper,0,1587,1587
9,Greater Gabbard,520,2343,2863
10,Nordsee Ost,0,1313,1313
11,BOWL,695,4069,4764
12,Ormonde,0,163,163
13,AOWF,0,385,385
14,50Hz CWA2,3373,984,4357
18,Rhyl Flats,0,208,208
19,Borssele 2,0,2499,2499
20,Fryslan,0,1674,1674
21,Akita,130,59,189
23,Saint Brieuc,3982,2901,6883
24,Seagreen,7470,1648,9118
25,Stowen,64,15,79
27,Moray East,1146,346,1492
28,Dogger Bank A (Const.),5823,712,6535
29,DolWin6,694,61,755
30,Moray West,1973,225,2198
31,Dogger Bank B (Const.),4,18,22
32,Vattenfall,1,0,1
33,Sofia,1324,157,1481
40,LID,169,49,218
42,Greater Wash,21,2,23
43,Dogger Bank A (O&M),126,43,169
44,EnBW-He Dreiht,0,0,1
